subjid,stimset,counterbalance_cond,stimfile,condition,condition_name,response,RT
SPE_ECI_01,setA,A,nh_002g.mp4,3,nh,0,0.0
SPE_ECI_01,setA,A,mu_016l.mp4,8,mu,4,3.6605402979985229
SPE_ECI_01,setA,A,mh_021l.mp4,7,mh,0,0.0
SPE_ECI_01,setA,A,nu_001g.mp4,4,nu,2,3.7002813840008457
SPE_ECI_01,setA,A,sh_007g.mp4,1,sh,0,0.0
SPE_ECI_01,setA,A,su_010g.mp4,2,su,5,4.7731242239970015
SPE_ECI_01,setA,A,sh_024g.mp4,1,sh,4,2.9453938890001155
SPE_ECI_01,setA,A,su_004g.mp4,2,su,5,2.4753148250019876
SPE_ECI_01,setA,A,nh_024g.mp4,3,nh,5,2.5770108859978791
SPE_ECI_01,setA,A,fh_016l.mp4,5,fh,7,2.2640231350014801
SPE_ECI_01,setA,A,nu_006g.mp4,4,nu,3,2.9096283610015234
SPE_ECI_01,setA,A,fu_001l.mp4,6,fu,4,2.1293897060022573
SPE_ECI_01,setA,A,nh_014g.mp4,3,nh,6,2.641537094998057
SPE_ECI_01,setA,A,sh_003g.mp4,1,sh,5,2.2056239929988806
SPE_ECI_01,setA,A,mh_010l.mp4,7,mh,7,2.1784210250007163
SPE_ECI_01,setA,A,mu_015l.mp4,8,mu,4,2.1103255849993729
SPE_ECI_01,setA,A,nu_018g.mp4,4,nu,4,4.2956322800018825
SPE_ECI_01,setA,A,su_012g.mp4,2,su,3,3.1426006100009545
SPE_ECI_01,setA,A,sh_017g.mp4,1,sh,5,2.9410810570007015
SPE_ECI_01,setA,A,su_016g.mp4,2,su,3,2.3690836579989991
SPE_ECI_01,setA,A,fh_004l.mp4,5,fh,5,2.4594747190021735
SPE_ECI_01,setA,A,fu_012l.mp4,6,fu,5,3.4631014250007865
SPE_ECI_01,setA,A,nh_005g.mp4,3,nh,5,2.166654781998659
SPE_ECI_01,setA,A,nu_004g.mp4,4,nu,5,2.5845943880012783
SPE_ECI_01,setA,A,nu_022g.mp4,4,nu,3,3.4530852880016027
SPE_ECI_01,setA,A,nh_016g.mp4,3,nh,5,3.0005060000003141
SPE_ECI_01,setA,A,mh_007l.mp4,7,mh,4,3.3600765720002528
SPE_ECI_01,setA,A,sh_020g.mp4,1,sh,4,2.1283707239999785
SPE_ECI_01,setA,A,mu_002l.mp4,8,mu,4,2.2696578959985345
SPE_ECI_01,setA,A,su_002g.mp4,2,su,4,3.1342382520015235
SPE_ECI_01,setA,A,sh_001g.mp4,1,sh,4,3.1960935530005372
SPE_ECI_01,setA,A,fu_004l.mp4,6,fu,3,2.8863516479977989
SPE_ECI_01,setA,A,su_006g.mp4,2,su,1,3.4642243740017875
SPE_ECI_01,setA,A,nu_019g.mp4,4,nu,5,3.5454712110004039
SPE_ECI_01,setA,A,fh_011l.mp4,5,fh,6,3.0514679539992358
SPE_ECI_01,setA,A,nh_011g.mp4,3,nh,4,2.9969650310013094
SPE_ECI_01,setA,A,nh_021g.mp4,3,nh,5,2.5902499059993715
SPE_ECI_01,setA,A,sh_021g.mp4,1,sh,5,2.6567837789989426
SPE_ECI_01,setA,A,mu_012l.mp4,8,mu,4,2.1271509990001505
SPE_ECI_01,setA,A,nu_003g.mp4,4,nu,4,2.7581704439980967
SPE_ECI_01,setA,A,su_014g.mp4,2,su,3,2.6712576000027184
SPE_ECI_01,setA,A,mh_023l.mp4,7,mh,6,2.4254739419993712
SPE_ECI_01,setA,A,nh_015g.mp4,3,nh,4,2.8058768310002051
SPE_ECI_01,setA,A,sh_013g.mp4,1,sh,5,2.684316144001059
