subjid,counterbalance_cond,sh,su,nh,nu,fh,fu,femaleh,femaleu,maleh,maleu,social_diff,nonsocial_diff,faces_diff,total_diff
SPE_ECI_23,G,5.125,3.125,5.125,2.125,6.625,3.75,6.75,3.75,6.5,3.75,2,3,2.875,2.625
SPE_ECI_22,F,5.625,1.5,6.5,2.25,6.5,2.625,6.5,2.5,6.5,2.75,4.125,4.25,3.875,4.083333333
SPE_ECI_10,B,6.125,1.5,6.75,1.875,6.25,2.5,6.75,2.75,5.75,2.25,4.625,4.875,3.75,4.416666667
SPE_ECI_11,C,6.25,2,6.125,2.25,6,1.125,6.75,1.25,5.25,1,4.25,3.875,4.875,4.333333333
SPE_ECI_12,D,6.75,1.25,6.875,1.125,4.875,3.125,4.75,2.75,5,3.5,5.5,5.75,1.75,4.333333333
SPE_ECI_13,E,7,1.75,6.875,3,5.625,3.5,5.5,2.75,5.75,4.25,5.25,3.875,2.125,3.75
SPE_ECI_14,F,6,2.625,6.25,2.375,5.75,3,6,3.25,5.5,2.75,3.375,3.875,2.75,3.333333333
SPE_ECI_15,G,7,2.375,6.25,2.625,5.5,3.375,6.5,2.75,4.5,4,4.625,3.625,2.125,3.458333333
SPE_ECI_16,H,6.75,2,5.75,3.125,6.125,2.625,6.25,2.5,6,2.75,4.75,2.625,3.5,3.625
SPE_ECI_17,A,5.875,1,7,1,6.375,2.375,6.5,2.5,6.25,2.25,4.875,6,4,4.958333333
SPE_ECI_18,B,7,1,7,2.125,7,2.75,7,2.5,7,3,6,4.875,4.25,5.041666667
SPE_ECI_19,C,6.625,2,7,1.125,5.75,3.25,5.75,3,5.75,3.5,4.625,5.875,2.5,4.333333333
SPE_ECI_34,B,6.25,1.125,6.875,1.25,6.625,2.5,6.75,2.25,6.5,2.75,5.125,5.625,4.125,4.958333333
SPE_ECI_35,C,6.875,1.875,5.75,2.75,7,2.5,7,2.5,7,2.5,5,3,4.5,4.166666667
SPE_ECI_32,H,5.875,1,7,1,6.625,1.25,7,1,6.25,1.5,4.875,6,5.375,5.416666667
SPE_ECI_33,A,5.75,2.625,5.875,2.75,5.625,3.25,5.75,2.75,5.5,3.75,3.125,3.125,2.375,2.875
SPE_ECI_30,F,5,2.125,4.75,2.5,6.25,2.625,6.75,2.5,5.75,2.75,2.875,2.25,3.625,2.916666667
SPE_ECI_31,G,5.875,2.125,6.125,2.375,5.625,2.125,6.25,2,5,2.25,3.75,3.75,3.5,3.666666667
SPE_ECI_29,E,6.375,1.375,6.625,1.75,6,2.5,5.5,2.25,6.5,2.75,5,4.875,3.5,4.458333333
SPE_ECI_28,D,5.875,1.875,5.25,2.5,5.625,2.125,5.25,1.25,6,3,4,2.75,3.5,3.416666667
SPE_ECI_07,G,6.25,2.5,6.625,2.5,4.75,2.5,4.75,2.5,4.75,2.5,3.75,4.125,2.25,3.375
SPE_ECI_06,F,6.25,3,6.25,2.75,5.75,3.25,6.25,2.5,5.25,4,3.25,3.5,2.5,3.083333333
SPE_ECI_05,E,6.75,3,5.75,3.25,6,2.625,6.5,2.75,5.5,2.5,3.75,2.5,3.375,3.208333333
SPE_ECI_04,D,5.375,1.625,5.5,2.75,6,3,6.25,3,5.75,3,3.75,2.75,3,3.166666667
SPE_ECI_03,C,6.5,3.25,5.75,2.25,5.875,2.875,6,3.25,5.75,2.5,3.25,3.5,3,3.25
SPE_ECI_02,B,7,1.125,6.75,1.375,5.875,1.625,6.5,1.5,5.25,1.75,5.875,5.375,4.25,5.166666667
SPE_ECI_01,A,4,3.375,4.25,3.625,5.25,3.875,6.25,3.75,4.25,4,0.625,0.625,1.375,0.875
SPE_ECI_25,A,5.75,1.125,6.625,2.75,6.125,3.125,6.5,2.75,5.75,3.5,4.625,3.875,3,3.833333333
SPE_ECI_24,H,6.875,1.5,6.25,1.5,6.625,2.75,7,2.75,6.25,2.75,5.375,4.75,3.875,4.666666667
SPE_ECI_27,C,7,3,6.875,3.875,6.25,3.25,7,3,5.5,3.5,4,3,3,3.333333333
SPE_ECI_26,B,6.25,1,7,1.75,7,3.5,7,2.5,7,4.5,5.25,5.25,3.5,4.666666667
SPE_ECI_21,E,5.625,2.625,6.375,4,5.375,3.625,6,3.25,4.75,4,3,2.375,1.75,2.375
SPE_ECI_20,D,6.25,1,6.875,1.5,5.875,1.625,6,1.25,5.75,2,5.25,5.375,4.25,4.958333333
SPE_ECI_09,A,7,2,6.375,3,5.75,2.75,6.5,2.5,5,3,5,3.375,3,3.791666667
SPE_ECI_08,H,5.625,3,5.875,2.125,6.375,2.75,7,2.5,5.75,3,2.625,3.75,3.625,3.333333333
,,6.185714286,1.982142857,6.253571429,2.310714286,6.017857143,2.742857143,,,,,4.203571429,3.942857143,3.275,3.807142857
