"subjid","rownum","submitdate","dimension","run","counterbalance","introcheck","introrating","introtiming","rating1","timing1","q1seen","q1comments","city","country","gender","age","thoughts","playtiming","playrating"
"FSF_r4b_so_0","83","2013-11-06 12:02","so","4","b","getit","10","timing:","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!10!!10!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!1!!2!!3!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!4!!5!!6!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8!!7!!8","0!!1.3519!!1.8509!!1.9319!!2.0179!!2.1029!!2.1870!!2.2689!!2.3509!!2.4359!!2.5179!!2.6029!!2.6849!!2.7709!!2.8519!!2.9370!!3.0189!!3.3169!!3.8179!!3.8999!!3.9839!!4.0679!!4.1510!!4.2339!!4.3169!!4.4010!!4.4609!!4.9609!!5.0449!!5.1280!!5.2109!!5.2949!!5.3769!!5.4609!!5.5439!!5.6280!!5.6289!!6.1289!!6.2119!!6.2960!!6.3789!!6.4619!!6.5460!!6.6289!!6.7119!!6.7960!!6.8789!!6.9619!!7.0449!!7.0579!!7.5529!!7.6359!!7.7200!!7.8059!!7.8899!!7.9700!!8.0539!!8.1369!!8.2200!!8.3039!!8.3869!!8.4279!!8.9319!!9.0139!!9.0989!!9.1789!!9.2639!!9.3479!!9.4309!!9.5139!!9.5979!!9.6610!!10.161!!10.243!!10.327!!10.411!!10.497!!10.577!!10.661!!10.744!!10.828!!10.911!!10.994!!11.052!!11.552!!11.635!!11.720!!11.802!!11.885!!11.970!!12.052!!12.135!!12.220!!12.302!!12.386!!12.470!!12.553!!12.580!!13.082!!13.164!!13.247!!13.332!!13.414!!13.498!!13.582!!13.664!!13.748!!13.771!!14.273!!14.355!!14.439!!14.523!!14.608!!14.690!!14.773!!14.856!!14.940!!15.023!!15.106!!15.126!!15.625!!15.708!!15.791!!15.875!!15.960!!16.043!!16.128!!16.210!!16.294!!16.296!!16.793!!16.876!!16.960!!17.043!!17.128!!17.211!!17.294!!17.378!!17.476!!17.508!!18.008!!18.092!!18.175!!18.258!!18.342!!18.429!!18.510!!18.595!!18.677!!18.761!!18.820!!19.320!!19.407!!19.487!!19.570!!19.654!!19.738!!19.820!!19.909!!19.988!!20.072!!20.155!!20.238!!20.322!!20.411!!20.488!!20.572!!20.655!!20.738!!20.822!!20.919!!20.996!!21.072!!21.155!!21.240!!21.323!!21.411!!21.490!!21.493!!21.993!!22.076!!22.159!!22.243!!22.326!!22.415!!22.493!!22.577!!22.661!!22.743!!22.826!!22.917!!23.125!!23.625!!23.707!!23.791!!23.875!!23.958!!24.044!!24.128!!24.211!!24.293!!24.378!!24.460!!24.677!!25.177!!25.259!!25.596!!25.822!!27.711!!28.069!!28.365!!28.636!!28.950!!29.268!!29.532!!29.829!!30.125!!30.419!!30.711!!31.020!!31.300!!31.588!!31.964!!32.268!!32.570!!32.845!!33.141!!33.461!!33.773!!34.076!!34.365!!34.671!!35.021!!35.365!!35.652!!35.964!!36.244!!36.564!!36.845!!37.228!!37.980!!38.165!!38.373!!38.789!!39.450!!39.741!!40.013!!40.300!!40.565!!40.861!!41.125!!41.414!!41.701!!41.940!!42.197!!42.454!!42.710!!42.996!!43.260!!43.540!!43.773!!44.069!!44.333!!44.532!!44.828!!45.056!!45.245!!45.523!!45.691!!46.029!!46.132!!46.524!!46.621!!47.029!!47.132!!47.533!!47.596!!47.944!!48.008!!48.391!!48.464!!48.884!!48.964!!49.348!!49.430!!49.829!!49.950!!50.335!!50.405!!50.757!!50.822","0!!0!!seen","0!!vvvv!!0!!bbbb","medifled","ma","lsg","slkgd"," ","timing:","10"
"FSF_r1a_sc_0","84","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!20.075!!20.286!!20.526!!20.743!!20.927!!21.827!!22.182!!22.373!!22.557!!22.747!!22.917!!23.101!!23.293!!23.496!!23.694!!29.375!!29.582!!29.797!!29.993!!30.205!!34.758!!34.990!!35.559","0!!1!!2!!1!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8"
"FSF_r1a_sc_0","85","2013-11-06 14:38","sc","1","a","getit","10","timing:","0!!1!!2!!3!!4!!5!!6!!5!!4!!3!!2!!1","0!!12.667!!12.891!!13.114!!13.298!!13.506!!13.721!!13.923!!14.131!!14.331!!14.538!!14.730","0!!0!!0!!0","0!!0!!0!!sbasd","NULL","NULL","sdf","asf"," ","timing:","10"
"FSF_r1a_sc_0","86","2013-11-06 15:35","sc","1","a","getit","10","timing:","0!!1!!2!!3!!2!!1!!0!!0!!0!!0!!0!!0!!1!!2!!1!!0!!1!!2!!3!!4!!5!!4!!3!!2!!1!!0!!0!!0","0!!2.1579!!2.6940!!2.9010!!3.8190!!4.3179!!4.4019!!4.4809!!4.5690!!4.6519!!4.7359!!4.8179!!11.501!!11.780!!72.402!!72.528!!73.099!!73.316!!73.504!!73.697!!73.969!!74.319!!74.819!!74.901!!74.984!!75.064!!75.152!!75.235","0!!0!!seen!!seen","0!!0!!0!!0","g","sdg","sdg","sd"," vv","timing:","10"
"FSF_r1b_me_0","87","2013-11-06 16:57","me","1","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4","0!!21.487!!22.372!!22.581!!22.779!!23.148!!23.986!!25.855!!28.151!!28.616!!28.981!!29.239!!29.921!!30.196!!30.409!!32.580!!32.796!!33.004!!33.233!!33.443!!33.909!!34.319!!35.008!!35.341!!35.567!!39.782!!40.040!!40.296!!40.521!!41.003!!41.671","0!!1!!2!!3!!4!!5!!6!!7!!8!!7!!6!!PAUSE!!PLAY!!5!!6!!7!!8!!9!!8!!7!!6!!5!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!0!!0!!1!!PAUSE!!PLAY!!PAUSE!!PLAY!!2!!1!!PAUSE!!PLAY!!2!!1!!2!!3!!4!!PAUSE!!PLAY!!3!!2!!1!!2!!3!!4!!PAUSE!!PLAY!!3!!2!!1!!2!!3!!4!!5!!4!!3!!2!!1!!0!!0!!0!!1!!2!!1!!2!!3!!2!!1!!0!!PAUSE!!PLAY!!1!!0!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!0!!0!!0!!1!!2!!3!!4!!5!!4!!3!!2!!1!!0!!PAUSE!!PLAY!!PAUSE!!PLAY!!1!!2!!1!!0!!1!!2!!3!!2!!1!!0","0!!14.323!!14.733!!15.003!!15.292!!20.958!!21.172!!21.559!!29.153!!41.440!!41.842!!57.245!!57.245!!60.312!!65.724!!65.941!!66.194!!78.126!!84.282!!84.482!!84.677!!84.849!!85.051!!96.026!!130.86!!131.02!!131.21!!131.37!!131.52!!133.25!!133.38!!133.82!!133.84!!133.87!!133.89!!133.92!!133.94!!133.96!!133.99!!134.01!!134.04!!134.07!!134.09!!134.12!!134.15!!161.51!!165.65!!159.46!!169.33!!154.38!!166.23!!167.53!!183.71!!148.97!!158.91!!182.95!!183.67!!183.85!!184.05!!207.78!!125.24!!127.47!!127.85!!128.24!!135.66!!155.76!!155.99!!168.42!!-8.524!!-4.804!!14.296!!14.566!!20.346!!20.540!!20.704!!20.928!!22.127!!22.575!!22.596!!22.621!!22.646!!22.669!!22.692!!37.297!!41.745!!65.360!!80.417!!80.742!!99.390!!99.748!!100.85!!111.50!!-306.7!!-275.1!!-271.5!!-252.0!!-251.5!!-251.5!!-251.5!!-251.5!!-251.2!!-251.0!!-250.2!!-249.7!!-249.7!!-249.7!!-249.7!!-249.7!!-249.6!!-249.6!!-249.6!!-249.5!!-249.5!!-249.5!!-249.5!!-249.4!!-233.7!!-233.5!!-233.3!!-233.1!!-232.5!!-228.8!!-228.5!!-220.9!!-220.7!!-217.6!!-210.6!!-1067.!!-1058.!!-2889.!!-2883.!!-2883.!!-2874.!!-2874.!!-2841.!!-2841.!!-2841.!!-2827.!!-2826.!!-2826.","seen!!0!!0!!0","0!!This clip loaded very slowly and stuttered a lot!!0!!I had to stop this partway through to let it load","NULL","NULL","female","24"," ","0!!8.4800!!9.1329!!9.3810!!9.7439!!9.9470!!10.169!!10.529!!10.825!!12.654!!12.822!!12.970!!13.157!!13.340!!13.552!!13.731!!16.858!!17.026!!17.365!!17.567!!17.773!!19.945!!20.129!!20.335!!22.904!!23!!2","0!!1!!2!!3!!4!!5!!6!!5!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0"
"FSF_r1b_sc_0","88","2013-11-06 16:53","sc","1","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0","0!!22.940!!23.200!!23.369!!23.529!!23.975!!24.243!!25.900!!26.087!!26.815!!28.943!!29.153!!29.371!!29.781!!30.005!!30.236!!30.472!!30.850!!31.196!!31.539!!32.782!!33.073!!33.450!!33.953!!34.324!!34.608!!34.996!!35.278!!35.561!!35.831!!36.784!!42.183!!42.430!!42.575!!42.753!!42.934!!43.139!!43.419!!44.198!!44.422!!44.603!!44.785","0!!1!!0!!1!!0!!1!!2!!1!!2!!1!!2!!3!!4!!5!!4!!5!!6!!7!!8!!9!!8!!7!!6!!5!!4!!3!!4!!3!!2!!3!!4!!3!!2!!3!!2!!1!!2!!1!!2!!1!!0!!1!!2!!3!!4!!3!!2!!3!!4!!5!!4!!5!!6!!5!!4!!5!!4!!3!!2!!3!!4!!3!!4!!3!!2!!1!!2!!3!!4!!5!!6!!5!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!3!!4!!5!!6!!5!!4!!3!!2!!3!!4!!5!!6!!5!!4!!3!!4!!5!!6!!5!!4!!3!!4!!5!!4!!3!!4!!3!!2!!1!!2!!3!!4!!3!!4!!5!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!4!!3!!2!!3!!2!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!3!!PAUSE!!PLAY!!2!!1!!2!!3!!4!!3!!2!!1!!0!!1!!2!!1!!2!!1!!2!!3!!2!!3!!2!!1!!2!!3!!4!!3!!2!!3!!4!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0!!PAUSE!!PLAY!!1!!2!!3!!4!!3!!2!!1!!2!!3!!4!!3!!4!!5!!6!!5!!4!!3!!2!!3!!4!!5!!4!!3!!2!!1!!2!!3!!4!!5!!4!!5!!4!!3!!2!!1!!2!!3!!4!!3!!2!!1!!0!!1!!2!!3!!2!!3!!4!!5!!4!!5!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!7!!8!!9!!8!!7!!6!!5!!4!!5!!6!!5!!6!!5!!4!!5!!6!!5!!6!!7!!6!!5!!4!!3!!2!!1!!2!!3!!4!!3!!4!!5!!6!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!3!!2!!1!!2!!3!!4!!5!!6!!7!!6!!5!!4!!5!!6!!7!!8!!9!!10!!9!!10!!9!!8!!7!!6!!7!!6!!7!!6!!5!!4!!3!!4!!5!!6!!7!!8!!9!!8!!7!!6!!5!!4!!5!!4!!3!!4!!5!!6!!7!!8!!9!!8!!7!!6!!5!!4!!3!!4!!3!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!7!!6!!5!!6!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!4","0!!13.266!!15.674!!23.554!!24.246!!25.871!!27.571!!28.259!!28.661!!30.006!!38.551!!39.049!!40.180!!40.482!!42.470!!42.741!!42.952!!43.142!!43.313!!43.757!!45.399!!46.071!!46.693!!46.914!!47.154!!48.092!!49.534!!51.423!!51.672!!51.972!!52.324!!53.923!!58.706!!62.965!!64.436!!66.592!!69.483!!71.412!!72.323!!75.344!!78.807!!80.101!!84.376!!84.607!!85.098!!87.008!!87.728!!89.705!!89.907!!90.328!!93.235!!94.023!!94.305!!96.167!!100.41!!104.53!!107.57!!107.80!!108.04!!108.98!!115.30!!116.96!!117.52!!119.27!!119.51!!119.72!!120.90!!121.17!!121.35!!121.56!!121.76!!123.49!!128.22!!128.97!!129.62!!131.17!!131.35!!131.52!!131.70!!132.92!!133.10!!133.27!!133.44!!133.61!!133.78!!133.94!!134.12!!134.30!!134.51!!138.48!!138.81!!139.98!!140.29!!141.50!!142.00!!143.74!!147.40!!147.66!!147.97!!148.78!!150.31!!153.05!!153.55!!160.26!!160.54!!160.74!!160.98!!162.12!!164.35!!164.62!!164.85!!169.68!!169.95!!171.91!!180.15!!180.40!!195.30!!198.21!!198.70!!200.17!!203.26!!203.51!!205.24!!205.49!!206.37!!209.46!!211.61!!211.84!!213.31!!213.83!!215.64!!217.43!!218.35!!218.58!!218.78!!219.44!!219.65!!219.84!!220.01!!222.98!!226.41!!227.27!!227.48!!227.65!!227.82!!228.02!!228.25!!228.47!!228.66!!229.34!!229.73!!229.96!!234.01!!234.24!!235.67!!236.03!!236.47!!237.04!!238.94!!239.48!!239.84!!241.64!!246.92!!246.92!!254.74!!260.07!!261.43!!265.06!!265.41!!266.46!!266.73!!268.59!!269.05!!269.57!!269.81!!274.96!!275.92!!280.78!!281.57!!281.97!!285.37!!290.19!!293.93!!298.60!!299.26!!299.72!!299.94!!300.62!!300.88!!301.90!!304.62!!304.84!!305.05!!305.29!!306.47!!306.76!!306.97!!307.13!!308.19!!308.38!!308.58!!308.76!!308.93!!313.90!!308.77!!312.65!!313.01!!313.21!!313.38!!320.59!!320.81!!320.98!!321.86!!322.07!!322.26!!323.38!!324.56!!324.76!!324.94!!326.23!!326.83!!327.04!!327.51!!329.71!!330.54!!334.73!!335.82!!336.03!!336.21!!336.89!!339.09!!339.35!!342.89!!343.11!!345.77!!346.41!!348.97!!349.17!!349.35!!349.57!!352.48!!352.70!!353.94!!355.05!!358.43!!358.64!!358.84!!361.32!!363.19!!363.55!!364.58!!365.02!!365.23!!365.39!!366.86!!370.40!!372.16!!372.60!!372.79!!372.96!!373.14!!373.31!!373.49!!377.79!!378.09!!378.89!!380.35!!382.08!!382.67!!383.63!!385.68!!385.94!!386.14!!386.56!!394.78!!400.69!!400.95!!402.63!!403.16!!404.15!!404.38!!404.98!!405.20!!406.17!!407.56!!407.91!!409.69!!409.90!!410.08!!414.82!!417.17!!417.75!!419.91!!420.12!!420.52!!424.71!!428.43!!428.64!!428.83!!428.99!!430.50!!430.71!!430.91!!431.11!!431.28!!431.49!!431.67!!435.49!!437.33!!437.66!!437.86!!438.06!!438.99!!439.36!!441.21!!441.54!!441.74!!441.95!!442.22!!442.82!!443.77!!444.71!!444.93!!445.13!!445.29!!446.00!!446.41!!446.76!!447.99!!449.39!!449.59!!449.74!!449.95!!450.12!!450.31!!451.47!!453.09!!456.19!!456.43!!456.64!!462.30!!463.18!!465.00!!465.61!!466.80!!467.03!!467.22!!468.45!!469.68!!469.88!!470.09!!470.42!!470.62!!470.80!!473.53!!473.87!!474.11!!476.17!!476.40!!476.95!!477.73!!484.04!!487.74!!487.96!!488.17!!488.38!!488.57!!489.20!!497.13!!497.36!!501.40!!501.65!!502.63!!503.83!!506.50!!511.37!!516.30!!518.88!!520.64!!520.83!!521.02!!521.20!!521.37!!521.54!!521.71!!526.82!!527.17!!527.71!!530.06!!530.28!!530.47!!530.66!!530.85!!531.05!!531.82!!532.65!!532.85!!533.03!!533.22!!533.40!!533.57!!533.75!!533.92!!534.96!!536.69!!538.03!!540.26!!543.09!!545.01!!545.25!!545.42!!545.61!!545.81!!546.00!!547.86!!551.08!!551.32!!559.86!!560.11!!560.31!!561.43","0!!0!!0!!0","0!!0!!0!!0","Temple","United States","male","39"," ","0!!14.114!!14.592!!14.631!!14.674!!14.713!!14.745!!14.807!!14.838!!14.870!!14.932!!14.947!!15.015!!15.055!!15.095!!15.136!!15.177!!15.217!!15.256!!15.297!!15.337!!15.378!!17.131!!17.368!!17.545!!17.71","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r1a_fa_0","89","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r1a_ob_0","90","NULL","ob","1","a","getit","10","timing:","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","timing:","10"
"FSF_r1b_ob_0","91","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r1b_so_0","92","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","timing:","10"
